C4BE84	Texas Instruments.
6089B7	KAEL M脺HEND陌SL陌K ELEKTRON陌K T陌CARET SANAY陌 L陌M陌TED 艦陌RKET陌
885D90	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
0CF405	Beijing Signalway Technologies Co.,Ltd
F0F842	KEEBOX, Inc.
001D4B	Grid Connect Inc.
5065F3	Hewlett Packard
0003D8	iMPath Networks, Inc.
008043	NETWORLD, INC.
00199B	Diversified Technical Systems, Inc.
0004F5	SnowShore Networks, Inc.
008028	TRADPOST (HK) LTD
001591	RLW Inc.
000B64	Kieback & Peter GmbH & Co KG
C83FB4	ARRIS Group, Inc.
00C039	Teridian Semiconductor Corporation
0025CB	Reiner SCT
58BDF9	Sigrand
000369	Nippon Antenna Co., Ltd.
045D56	camtron industrial inc.
F81A67	TP-LINK TECHNOLOGIES CO., LTD.
002090	ADVANCED COMPRESSION TECHNOLOGY, INC.
A8B1D4	CISCO SYSTEMS, INC.
3C39E7	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
00237C	NEOTION
001BC9	FSN DISPLAY INC
001330	EURO PROTECTION SURVEILLANCE
00225B	Teradici Corporation
00116C	Nanwang Multimedia Inc.,Ltd
84253F	Silex Technology, Inc
F4EE14	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
ACD074	Espressif Inc.
6CFFBE	MPB Communications Inc.
00003D	UNISYS
001B19	IEEE I&M Society TC9
00D018	QWES. COM, INC.
000AF2	NeoAxiom Corp.
D494A1	Texas Instruments
000020	DATAINDUSTRIER DIAB AB
00502C	SOYO COMPUTER, INC.
D0F27F	SteadyServ Technoligies, LLC
000EF1	EZQUEST INC.
B4CCE9	PROSYST
0012A8	intec GmbH
00080E	ARRIS Group, Inc.
249504	SFR
00124C	BBWM Corporation
A89B10	inMotion Ltd.
ACBEB6	Visualedge Technology Co., Ltd.
0017E2	ARRIS Group, Inc.
0060E7	RANDATA
000037	OXFORD METRICS LIMITED
001A4C	Crossbow Technology, Inc
0004FC	Stratus Computer (DE), Inc.
0025B1	Maya-Creation Corporation
10445A	Shaanxi Hitech Electronic Co., LTD
002665	ProtectedLogic Corporation
000082	LECTRA SYSTEMES SA
001C71	Emergent Electronics
3C8AB0	Juniper Networks
00EB2D	Sony Mobile Communications AB
E8508B	Samsung Electro Mechanics co., LTD.
04DD4C	Velocytech
0015A0	Nokia Danmark A/S
FCA841	Avaya, Inc
000D00	Seaway Networks Inc.
A0481C	Hewlett Packard
0013BD	HYMATOM SA
903AA0	Alcatel-Lucent
30C7AE	Samsung Electronics Co.,Ltd
00111B	Targa Systems Div L-3 Communications Canada
001A28	ASWT Co., LTD. Taiwan Branch H.K.
001AB3	VISIONITE INC.
001CE2	Attero Tech, LLC.
642184	Nippon Denki Kagaku Co.,LTD
0020DD	Cybertec Pty Ltd
001101	CET Technologies Pte Ltd
000B8C	Flextronics
60CDC5	Taiwan Carol Electronics., Ltd
E88E60	NSD Corporation
001AA0	Dell Inc
685B35	Apple
002325	IOLAN Holding
08FD0E	Samsung Electronics Co.,Ltd
B46293	Samsung Electronics Co.,Ltd
6836B5	DriveScale, Inc.
1048B1	Beijing Duokan Technology Limited
00015D	Oracle Corporation
0030DA	COMTREND CO.
001792	Falcom Wireless Comunications Gmbh
0010FF	CISCO SYSTEMS, INC.
001AD2	Eletronica Nitron Ltda
FC1E16	IPEVO corp
000689	yLez Technologies Pte Ltd
5894CF	Vertex Standard LMR, Inc.
3CC99E	Huiyang Technology Co., Ltd
001F86	digEcor
000F61	Hewlett-Packard Company
00055F	CISCO SYSTEMS, INC.
E036E3	Stage One International Co., Ltd.
001183	Datalogic ADC, Inc.
00084F	Qualstar Corporation
E0E631	SNB TECHNOLOGIES LIMITED
002617	OEM Worldwide
58343B	Glovast Technology Ltd.
005036	NETCAM, LTD.
F8D462	Pumatronix Equipamentos Eletronicos Ltda.
001730	Automation Electronics
0019A8	WiQuest Communications
000D23	Smart Solution, Inc
009060	SYSTEM CREATE CORP.
000C3B	Orion Electric Co., Ltd.
0018CB	Tecobest Technology Limited
001B15	Voxtel, Inc.
D8F0F2	Zeebo Inc
801440	Sunlit System Technology Corp
1C4158	Gemalto M2M GmbH
080058	SYSTEMS CONCEPTS
DCCEBC	Shenzhen JSR Technology Co.,Ltd.
F490EA	Deciso B.V.
000F6A	Nortel Networks
B82ADC	EFR Europ盲ische Funk-Rundsteuerung GmbH
0010C3	CSI-CONTROL SYSTEMS
001E25	Intek Digital Inc
00C078	COMPUTER SYSTEMS ENGINEERING
B4B859	Texa Spa
000555	Japan Cash Machine Co., Ltd.
50053D	CyWee Group Ltd
00301C	ALTVATER AIRDATA SYSTEMS
000F03	COM&C CO., LTD
2CE412	SAGEMCOM SAS
001555	DFM GmbH
008042	Artesyn Embedded Technologies
001E53	Further Tech Co., LTD
F8C678	Carefusion
000481	Econolite Control Products, Inc.
0011F8	AIRAYA Corp
001918	Interactive Wear AG
E498D6	Apple, Inc
BC7DD1	Radio Data Comms
0003EC	ICG Research, Inc.
ACF2C5	Cisco
000797	Netpower Co., Ltd.
2067B1	Pluto inc.
ECF00E	Abocom
FC4DD4	Universal Global Scientific Industrial Co., Ltd.
0005A9	Princeton Networks, Inc.
000A02	ANNSO CO., LTD.
00500C	e-Tek Labs, Inc.
0019C5	SONY Computer Entertainment inc,
001505	Actiontec Electronics, Inc
ACFDEC	Apple, Inc
3077CB	Maike Industry(Shenzhen)CO.,LTD
00D025	XROSSTECH, INC.
E00370	ShenZhen Continental Wireless Technology Co., Ltd.
001632	SAMSUNG ELECTRONICS CO., LTD.
0019E6	TOYO MEDIC CO.,LTD.
001C18	Sicert S.r.L.
00902E	NAMCO LIMITED
001490	ASP Corporation
000D21	WISCORE Inc.
0025FA	J&M Analytik AG
0019D4	ICX Technologies
000CCB	Design Combus Ltd
000743	Chelsio Communications
BC52B7	Apple
00800C	VIDECOM LIMITED
0007FA	ITT Co., Ltd.
0023D1	TRG
F0DB30	Yottabyte
001263	Data Voice Technologies GmbH
00071A	Finedigital Inc.
00257A	CAMCO Produktions- und Vertriebs-GmbH f眉r  Beschallungs- und Beleuchtungsanlagen
903D5A	Shenzhen Wision Technology Holding Limited
0021C5	3DSP Corp
003A9B	CISCO SYSTEMS, INC.
14A86B	ShenZhen Telacom Science&Technology Co., Ltd
001D83	Emitech Corporation
000827	ADB Broadband Italia
A83944	Actiontec Electronics, Inc
0012EE	Sony Ericsson Mobile Communications AB
003047	NISSEI ELECTRIC CO., LTD.
0005AE	Mediaport USA
08A5C8	Sunnovo International Limited
001DCE	ARRIS Group, Inc.
B81999	Nesys
000E9F	TEMIC SDS GmbH
0011E0	U-MEDIA Communications, Inc.
000A1D	Optical Communications Products Inc.
0000E5	SIGMEX LTD.
000B42	commax Co., Ltd.
001D5D	Control Dynamics Pty. Ltd.
7463DF	VTS GmbH
F4B52F	Juniper networks
4CE2F1	sclak srl
000198	Darim Vision
000DBB	Nippon Dentsu Co.,Ltd.
000399	Dongju Informations & Communications Co., Ltd.
E4B021	Samsung Electronics Co.,Ltd
C88B47	Nolangroup S.P.A con Socio Unico
00604D	MMC NETWORKS, INC.
90A783	JSW PACIFIC CORPORATION
58BDA3	Nintendo Co., Ltd.
00107C	P-COM, INC.
E02F6D	Cisco
0005B2	Medison Co., Ltd.
000A2F	Artnix Inc.
001C58	CISCO SYSTEMS, INC.
00F051	KWB Gmbh
00D082	IOWAVE INC.
00032A	UniData Communication Systems, Inc.
24A87D	Panasonic Automotive Systems Asia Pacific(Thailand)Co.,Ltd.
00C0AD	MARBEN COMMUNICATION SYSTEMS
000201	IFM Electronic gmbh
E0D31A	EQUES Technology Co., Limited
645299	The Chamberlain Group, Inc
000307	Secure Works, Inc.
001E8F	CANON INC.
008094	ALFA LAVAL AUTOMATION AB
E878A1	BEOVIEW INTERCOM DOO
B48547	Amptown System Company GmbH
000393	Apple
001DE0	Intel Corporate
0024CE	Exeltech Inc
000561	nac Image Technology, Inc.
00A0C4	CRISTIE ELECTRONICS LTD.
00E175	AK-Systems Ltd
94FD2E	Shanghai Uniscope Technologies Co.,Ltd
3090AB	Apple
A00363	Robert Bosch Healthcare GmbH
00050E	3ware, Inc.
000EDE	REMEC, Inc.
94DB49	SITCORP
0004B5	Equitrac Corporation
0040DC	TRITEC ELECTRONIC GMBH
705EAA	Action Target, Inc.
002502	NaturalPoint
000C6F	Amtek system co.,LTD.
001C3A	Element Labs, Inc.
0001C6	Quarry Technologies
001E9E	ddm hopt + schuler Gmbh + Co. KG
B8BB6D	ENERES Co.,Ltd.
C034B4	Gigastone Corporation
00300B	mPHASE Technologies, Inc.
000CF7	Nortel Networks
A4FB8D	Hangzhou Dunchong Technology Co.Ltd
E85BF0	Imaging Diagnostics
000702	Varian Medical Systems
001054	CISCO SYSTEMS, INC.
00C0D2	SYNTELLECT, INC.
0003BE	Netility
0023CF	CUMMINS-ALLISON CORP.
001D43	Shenzhen G-link Digital Technology Co., Ltd.
00235C	Aprius, Inc.
0017FD	Amulet Hotkey
00C065	SCOPE COMMUNICATIONS, INC.
001179	Singular Technology Co. Ltd.
0005EB	Blue Ridge Networks, Inc.
CC33BB	SAGEMCOM SAS
0018EA	Alltec GmbH
000CBA	Jamex, Inc.
5804CB	Tianjin Huisun Technology Co.,Ltd.
20EEC6	Elefirst Science & Tech Co ., ltd
000D2D	NCT Deutschland GmbH
008077	BROTHER INDUSTRIES, LTD.
9411DA	ITF Fr枚schl GmbH
64AE88	Polytec GmbH
001EA7	ActionTec Electronics, Inc
283CE4	Huawei Technologies Co., Ltd
90C35F	Nanjing Jiahao Technology Co., Ltd.
EC9327	MEMMERT GmbH + Co. KG
0022C0	Shenzhen Forcelink Electronic Co, Ltd
001808	SightLogix, Inc.
001487	American Technology Integrators
00805B	CONDOR SYSTEMS, INC.
70CD60	Apple
7CE1FF	Computer Performance, Inc. DBA Digital Loggers, Inc.
005052	TIARA NETWORKS, INC.
0007EE	telco Informationssysteme GmbH
40BC73	Cronoplast  S.L.
D43AE9	DONGGUAN ipt INDUSTRIAL CO., LTD
000C66	Pronto Networks Inc
ECE555	Hirschmann Automation
84A6C8	Intel Corporate
4C9EE4	Hanyang Navicom Co.,Ltd.
001DAF	Nortel
0004EB	Paxonet Communications, Inc.
C49A02	LG Electronics (Mobile Communicaitons)
0024C8	Broadband Solutions Group
48EE07	Silver Palm Technologies LLC
0016EC	Elitegroup Computer Systems Co., Ltd.
A8D828	Bayer HealthCare
0022F9	Pollin Electronic GmbH
58F387	HCCP
0013FE	GRANDTEC ELECTRONIC CORP.
0004D2	Adcon Telemetry GmbH
C0C569	SHANGHAI LYNUC CNC TECHNOLOGY CO.,LTD
009066	Troika Networks, Inc.
0008AA	KARAM
000724	Telemax Co., Ltd.
000301	EXFO
001C7F	Check Point Software Technologies
002088	GLOBAL VILLAGE COMMUNICATION
00138D	Kinghold
B4F2E8	Pace plc
002100	GemTek Technology Co., Ltd.
F88C1C	KAISHUN ELECTRONIC TECHNOLOGY CO., LTD. BEIJING
806C8B	KAESER KOMPRESSOREN AG
58170C	Sony Ericsson Mobile Communications AB
000110	Gotham Networks
000255	IBM Corp
001A30	CISCO SYSTEMS, INC.
0014DB	Elma Trenew Electronic GmbH
58677F	Clare Controls Inc.
002183	VATECH HYDRO
00A08E	Check Point Software Technologies
447098	MING HONG TECHNOLOGY (SHEN ZHEN) LIMITED
0017D9	AAI Corporation
78CD8E	SMC Networks Inc
001200	CISCO SYSTEMS, INC.
00159D	Tripp Lite
48ED80	daesung eltec
000963	Dominion Lasercom Inc.
283B96	Cool Control LTD
0003FE	CISCO SYSTEMS, INC.
000C8D	MATRIX VISION GmbH
001542	MICROHARD S.R.L.
00087F	SPAUN electronic GmbH & Co. KG
00A066	ISA CO., LTD.
04DB56	Apple, Inc.
00E0CB	RESON, INC.
000C73	TELSON ELECTRONICS CO., LTD
94E98C	Alcatel-Lucent
8096B1	ARRIS Group, Inc.
2C282D	BBK COMMUNICATIAO TECHNOLOGY CO.,LTD.
0090D3	GIESECKE & DEVRIENT GmbH
20AA4B	Cisco-Linksys, LLC
001D6F	Chainzone Technology Co., Ltd
DC0B1A	ADB Broadband Italia
0015AD	Accedian Networks
6CE873	TP-LINK TECHNOLOGIES CO., LTD.
0008E7	SHI ControlSystems,Ltd.
0012D4	Princeton Technology, Ltd
74E1B6	Apple
60C547	Apple
001238	SetaBox Technology Co., Ltd.
0026A5	MICROROBOT.CO.,LTD
E8892C	ARRIS Group, Inc.
00113B	Micronet Communications Inc.
0050DC	TAS TELEFONBAU A. SCHWABE GMBH & CO. KG
04BFA8	ISB Corporation
000E2F	Roche Diagnostics GmbH
001C9D	Liecthi AG
20DF3F	Nanjing SAC Power Grid Automation Co., Ltd.
001C11	ARRIS Group, Inc.
DC175A	Hitachi High-Technologies Corporation
000074	RICOH COMPANY LTD.
005091	NETACCESS, INC.
444C0C	Apple
000B92	Ascom Danmark A/S
88CBA5	Suzhou Torchstar Intelligent Technology Co.,Ltd
20E564	ARRIS Group, Inc.
000498	Mahi Networks
C4393A	SMC Networks Inc
3C94D5	Juniper Networks
001482	Aurora Networks
AC4BC8	Juniper Networks
000B7F	Align Engineering LLC
7076DD	Oxyguard International A/S
000CF5	InfoExpress
000581	Snell
18C58A	HUAWEI TECHNOLOGIES CO.,LTD
00069A	e & Tel
0007A4	GN Netcom Ltd.
000CCC	Aeroscout Ltd.
04DAD2	Cisco
7CC8D7	Damalisk
20A2E7	Lee-Dickens Ltd
001205	Terrasat Communications, Inc.
001F59	Kronback Tracers
7CE9D3	Hon Hai Precision Ind. Co.,Ltd.
74A063	HUAWEI TECHNOLOGIES CO.,LTD
0090AF	J. MORITA MFG. CORP.
001C47	Hangzhou Hollysys Automation Co., Ltd
FC35E6	Visteon corp
002662	Actiontec Electronics, Inc
242642	SHARP Corporation.
001E5B	Unitron Company, Inc.
0014C9	Brocade Communications Systems, Inc.
30F7C5	Apple
000551	F & S Elektronik Systeme GmbH
BC6E64	Sony Mobile Communications AB
0010EB	SELSIUS SYSTEMS, INC.
00093B	HYUNDAI NETWORKS INC.
007DFA	Volkswagen Group of America
001F13	S.& A.S. Ltd.
3CF392	Virtualtek. Co. Ltd
0016CA	Nortel
0017DF	CISCO SYSTEMS, INC.
000D85	Tapwave, Inc.
001A4F	AVM GmbH
0024A4	Siklu Communication
000FE7	Lutron Electronics Co., Inc.
481D70	Cisco SPVTG
004015	ASCOM INFRASYS AG
00E06A	KAPSCH AG
902083	General Engine Management Systems Ltd.
0050A1	CARLO GAVAZZI, INC.
00D0E3	ELE-CHEM ENGINEERING CO., LTD.
E8E1E2	Energotest
0006B6	Nir-Or Israel Ltd.
B499BA	Hewlett-Packard Company
000039	TOSHIBA CORPORATION
5C95AE	Apple
58ECE1	Newport Corporation
004052	STAR TECHNOLOGIES, INC.
00069F	Kuokoa Networks
00120B	Chinasys Technologies Limited
0008DF	Alistel Inc.
0018BB	Eliwell Controls srl
1C7D22	Fuji Xerox Co., Ltd.
00A0EA	ETHERCOM CORP.
00D067	CAMPIO COMMUNICATIONS
B40B7A	Brusa Elektronik AG
404EEB	Higher Way Electronic Co., Ltd.
0011FB	Heidelberg Engineering GmbH
0009D4	Transtech Networks
0005C4	Telect, Inc.
002712	MaxVision LLC
0CC3A7	Meritec
00A098	NetApp
0008E8	Excel Master Ltd.
D0AEEC	Alpha Networks Inc.
B03850	Nanjing CAS-ZDC IOT SYSTEM CO.,LTD
001BCD	DAVISCOMMS (S) PTE LTD
00158D	Jennic Ltd
100723	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
0017D1	Nortel
A8968A	Apple
0000EE	NETWORK DESIGNERS, LTD.
0023A5	SageTV, LLC
0024FF	QLogic Corporation
901B0E	Fujitsu Technology Solutions GmbH
002466	Unitron nv
000081	BAY NETWORKS
0012B9	Fusion Digital Technology
2497ED	Techvision Intelligent Technology Limited
001635	Hewlett-Packard Company
000608	At-Sky SAS
4437E6	Hon Hai Precision Ind.Co.Ltd
0C722C	TP-LINK TECHNOLOGIES CO.,LTD.
00E00E	AVALON IMAGING SYSTEMS, INC.
000156	FIREWIREDIRECT.COM, INC.
0C1DC2	SeAH Networks
00205A	COMPUTER IDENTICS
0002D9	Reliable Controls
0002FB	Baumuller Aulugen-Systemtechnik GmbH
0040E2	MESA RIDGE TECHNOLOGIES, INC.
001779	QuickTel
642737	Hon Hai Precision Ind. Co.,Ltd.
005030	FUTURE PLUS SYSTEMS
887033	Hangzhou Silan Microelectronic Inc
0018F4	EO TECHNICS Co., Ltd.
4C774F	Embedded Wireless Labs
00C0F0	KINGSTON TECHNOLOGY CORP.
40BC8B	itelio GmbH
000FEC	ARKUS Inc.
0002B4	DAPHNE
00A0B6	SANRITZ AUTOMATION CO., LTD.
000391	Advanced Digital Broadcast, Ltd.
188ED5	TP Vision Belgium N.V. - innovation site Brugge
000D3B	Microelectronics Technology Inc.
DCD2FC	HUAWEI TECHNOLOGIES CO.,LTD
2826A6	PBR electronics GmbH
0080EC	SUPERCOMPUTING SOLUTIONS, INC.
686E48	Prophet Electronic Technology Corp.,Ltd
D4D249	Power Ethernet
E0CA4D	Shenzhen Unistar Communication Co.,LTD
001F51	HD Communications Corp
001EA3	Nokia Danmark A/S
E8E770	Warp9 Tech Design, Inc.
00134B	ToGoldenNet Technology Inc.
080025	CONTROL DATA
001065	RADYNE CORPORATION
002381	Lengda Technology(Xiamen) Co.,Ltd.
000D7A	DiGATTO Asia Pacific Pte Ltd
001EC4	Celio Corp
00DD0B	UNGERMANN-BASS INC.
001EFD	Microbit 2.0 AB
6CB7F4	Samsung Electronics Co.,Ltd
001FE7	Simet
00C0F7	ENGAGE COMMUNICATION, INC.
3CA82A	Hewlett Packard
0009B0	Onkyo Corporation
60F281	TRANWO TECHNOLOGY CO., LTD.
4C0B3A	TCT Mobile Limited
00256B	ATENIX E.E. s.r.l.
94C6EB	NOVA electronics, Inc.
001D3C	Muscle Corporation
300D2A	Zhejiang Wellcom Technology Co.,Ltd.
0CF5A4	Cisco
000AE1	EG Technology
485D36	Verizon
0005C3	Pacific Instruments, Inc.
000503	ICONAG
00060C	Melco Industries, Inc.
0009D0	Solacom Technologies Inc.
005020	MEDIASTAR CO., LTD.
085AE0	Recovision Technology Co., Ltd.
002243	AzureWave Technologies, Inc.
9C53CD	ENGICAM s.r.l.
00236F	DAQ System
00D01A	URMET  TLC S.P.A.
A0DC04	Becker-Antriebe GmbH
000B62	ib-mohnen KG
002471	Fusion MultiSystems dba Fusion-io
8497B8	Memjet Inc.
000FFB	Nippon Denso Industry Co., Ltd.
0021D9	SEKONIC CORPORATION
00269B	SOKRAT Ltd.
189C5D	Cisco
000A26	CEIA S.p.A.
00E093	ACKFIN NETWORKS
947C3E	Polewall Norge AS
34A84E	Cisco
00309B	Smartware
74AE76	iNovo Broadband, Inc.
001674	EuroCB (Phils.), Inc.
001991	avinfo
0023D9	Banner Engineering
7062B8	D-Link International
0012D6	Jiangsu Yitong High-Tech Co.,Ltd
887384	Toshiba
00603A	QUICK CONTROLS LTD.
E006E6	Hon Hai Precision Ind. Co.,Ltd.
00903A	NIHON MEDIA TOOL INC.
001945	RF COncepts, LLC
9CF938	AREVA NP GmbH
000EFB	Macey Enterprises
70AF25	Nishiyama Industry Co.,LTD.
144319	Creative&Link Technology Limited
6015C7	IdaTech
002430	Ruby Tech Corp.
BC8CCD	Samsung Electro Mechanics co.,LTD.
7C1EB3	2N TELEKOMUNIKACE a.s.
00229C	Verismo Networks Inc
001266	Swisscom Hospitality Services SA
00B9F6	Shenzhen Super Rich Electronics Co.,Ltd
54D163	MAX-TECH,INC
707630	Pace plc.
7054D2	PEGATRON CORPORATION
00D0B3	DRS Technologies Canada Ltd
F4B85E	Texas INstruments
001F1B	RoyalTek Company Ltd.
00080F	Proximion Fiber Optics AB
FCC2DE	Murata Manufacturing Co., Ltd.
F8A963	COMPAL INFORMATION (KUNSHAN) CO., LTD.
001CF1	SUPoX Technology Co. , LTD.
AC54EC	IEEE P1823 Standards Working Group
0007BC	Identix Inc.
000EF8	SBC ASI
002097	APPLIED SIGNAL TECHNOLOGY
B43A28	Samsung Electronics Co.,Ltd
